"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Pull day (arms focus)","16 May 2025, 20:47","16 May 2025, 21:44","","Behind Body Cable Curl",,"",0,"normal",17,9,,,
"Pull day (arms focus)","16 May 2025, 20:47","16 May 2025, 21:44","","Behind Body Cable Curl",,"",1,"normal",19.5,9,,,
"Pull day (arms focus)","16 May 2025, 20:47","16 May 2025, 21:44","","Behind Body Cable Curl",,"",2,"normal",19.5,10,,,
"Pull day (arms focus)","16 May 2025, 20:47","16 May 2025, 21:44","","Lat Pulldown (Cable)",,"",0,"normal",63,5,,,
"Pull day (arms focus)","16 May 2025, 20:47","16 May 2025, 21:44","","Lat Pulldown (Cable)",,"",1,"normal",58.5,7,,,
"Pull day (arms focus)","16 May 2025, 20:47","16 May 2025, 21:44","","Seated Row (Machine)",,"",0,"normal",27,6,,,
"Pull day (arms focus)","16 May 2025, 20:47","16 May 2025, 21:44","","Seated Row (Machine)",,"",1,"normal",17,10,,,
"Pull day (arms focus)","16 May 2025, 20:47","16 May 2025, 21:44","","Seated Row (Machine)",,"",2,"normal",27,6,,,
"Pull day (arms focus)","16 May 2025, 20:47","16 May 2025, 21:44","","Preacher Curl (Machine)",,"",0,"normal",20,8,,,
"Pull day (arms focus)","16 May 2025, 20:47","16 May 2025, 21:44","","Preacher Curl (Machine)",,"",1,"normal",20,7,,,
"Pull day (arms focus)","16 May 2025, 20:47","16 May 2025, 21:44","","Preacher Curl (Machine)",,"",2,"normal",20,7,,,
"Push day (chest focus)","12 May 2025, 17:50","12 May 2025, 19:32","","Incline Bench Press (Dumbbell)",,"",0,"normal",20.41,6,,,
"Push day (chest focus)","12 May 2025, 17:50","12 May 2025, 19:32","","Incline Bench Press (Dumbbell)",,"",1,"normal",20.41,5,,,
"Push day (chest focus)","12 May 2025, 17:50","12 May 2025, 19:32","","Incline Bench Press (Dumbbell)",,"",2,"normal",20.41,5,,,
"Push day (chest focus)","12 May 2025, 17:50","12 May 2025, 19:32","","crossbody cable extension",,"",0,"normal",21,4,,,
"Push day (chest focus)","12 May 2025, 17:50","12 May 2025, 19:32","","crossbody cable extension",,"",1,"normal",17,7,,,
"Push day (chest focus)","12 May 2025, 17:50","12 May 2025, 19:32","","crossbody cable extension",,"",2,"normal",17,7,,,
"Push day (chest focus)","12 May 2025, 17:50","12 May 2025, 19:32","","Butterfly (Pec Deck)",,"",0,"normal",54,6,,,
"Push day (chest focus)","12 May 2025, 17:50","12 May 2025, 19:32","","Butterfly (Pec Deck)",,"",1,"normal",45,6,,,
"Push day (chest focus)","12 May 2025, 17:50","12 May 2025, 19:32","","Butterfly (Pec Deck)",,"",2,"normal",45,5,,,
"Push day (chest focus)","8 May 2025, 20:56","8 May 2025, 22:06","","Chest Press (Machine)",,"",0,"normal",42.5,6,,,
"Push day (chest focus)","8 May 2025, 20:56","8 May 2025, 22:06","","Chest Press (Machine)",,"",1,"normal",42.5,7,,,
"Push day (chest focus)","8 May 2025, 20:56","8 May 2025, 22:06","","Chest Press (Machine)",,"",2,"normal",42.5,6,,,
"Push day (chest focus)","8 May 2025, 20:56","8 May 2025, 22:06","","crossbody cable extension",,"",0,"normal",21,6,,,
"Push day (chest focus)","8 May 2025, 20:56","8 May 2025, 22:06","","crossbody cable extension",,"",1,"normal",17,7,,,
"Push day (chest focus)","8 May 2025, 20:56","8 May 2025, 22:06","","Butterfly (Pec Deck)",,"",0,"normal",45,8,,,
"Push day (chest focus)","8 May 2025, 20:56","8 May 2025, 22:06","","Crunch (Machine)",,"",0,"normal",67,9,,,
"Pull day (arms focus)","7 May 2025, 20:36","7 May 2025, 22:02","","Bicep Curl (Cable)",,"",0,"normal",17,9,,,
"Pull day (arms focus)","7 May 2025, 20:36","7 May 2025, 22:02","","Bicep Curl (Cable)",,"",1,"normal",17,8,,,
"Pull day (arms focus)","7 May 2025, 20:36","7 May 2025, 22:02","","Bicep Curl (Cable)",,"",2,"normal",17,10,,,
"Pull day (arms focus)","7 May 2025, 20:36","7 May 2025, 22:02","","Lat Pulldown (Cable)",,"",0,"normal",63,7,,,
"Pull day (arms focus)","7 May 2025, 20:36","7 May 2025, 22:02","","Seated Row (Machine)",,"",0,"normal",27,6,,,
"Pull day (arms focus)","7 May 2025, 20:36","7 May 2025, 22:02","","Seated Row (Machine)",,"",1,"normal",17,10,,,
"Pull day (arms focus)","7 May 2025, 20:36","7 May 2025, 22:02","","Seated Row (Machine)",,"",2,"normal",27,6,,,
"Pull day (arms focus)","7 May 2025, 20:36","7 May 2025, 22:02","","Preacher Curl (Machine)",,"",0,"normal",20,8,,,
"Pull day (arms focus)","7 May 2025, 20:36","7 May 2025, 22:02","","Preacher Curl (Machine)",,"",1,"normal",20,7,,,
"Push day (chest focus)","30 Apr 2025, 21:10","30 Apr 2025, 23:19","","Incline Bench Press (Dumbbell)",,"",0,"normal",18.14,10,,,
"Push day (chest focus)","30 Apr 2025, 21:10","30 Apr 2025, 23:19","","Incline Bench Press (Dumbbell)",,"",1,"normal",18.14,9,,,
"Push day (chest focus)","30 Apr 2025, 21:10","30 Apr 2025, 23:19","","Incline Bench Press (Dumbbell)",,"",2,"normal",18.14,7,,,
"Push day (chest focus)","30 Apr 2025, 21:10","30 Apr 2025, 23:19","","crossbody cable extension",,"",0,"normal",21,6,,,
"Push day (chest focus)","30 Apr 2025, 21:10","30 Apr 2025, 23:19","","crossbody cable extension",,"",1,"normal",17,7,,,
"Push day (chest focus)","30 Apr 2025, 21:10","30 Apr 2025, 23:19","","crossbody cable extension",,"",2,"normal",17,7,,,
"Pull day (arms focus)","15 Apr 2025, 20:38","15 Apr 2025, 21:33","","Behind Body Cable Curl",,"",0,"normal",22.25,6,,,
"Pull day (arms focus)","15 Apr 2025, 20:38","15 Apr 2025, 21:33","","Behind Body Cable Curl",,"",1,"normal",21,8,,,
"Pull day (arms focus)","15 Apr 2025, 20:38","15 Apr 2025, 21:33","","Behind Body Cable Curl",,"",2,"normal",21,8,,,
"Pull day (arms focus)","15 Apr 2025, 20:38","15 Apr 2025, 21:33","","Lat Pulldown (Cable)",,"",0,"normal",54,8,,,
"Pull day (arms focus)","15 Apr 2025, 20:38","15 Apr 2025, 21:33","","Lat Pulldown (Cable)",,"",1,"normal",54,8,,,
"Pull day (arms focus)","15 Apr 2025, 20:38","15 Apr 2025, 21:33","","Seated Row (Machine)",,"",0,"normal",27,6,,,
"Pull day (arms focus)","15 Apr 2025, 20:38","15 Apr 2025, 21:33","","Preacher Curl (Machine)",,"",0,"normal",20,8,,,
"Pull day (arms focus)","15 Apr 2025, 20:38","15 Apr 2025, 21:33","","Preacher Curl (Machine)",,"",1,"normal",20,7,,,
"Pull day (arms focus)","15 Apr 2025, 20:38","15 Apr 2025, 21:33","","Preacher Curl (Machine)",,"",2,"normal",20,7,,,
"Push day (chest focus)","14 Apr 2025, 19:34","14 Apr 2025, 20:49","","Incline Bench Press (Dumbbell)",,"",0,"normal",20.41,6,,,
"Push day (chest focus)","14 Apr 2025, 19:34","14 Apr 2025, 20:49","","Incline Bench Press (Dumbbell)",,"",1,"normal",20.41,5,,,
"Push day (chest focus)","14 Apr 2025, 19:34","14 Apr 2025, 20:49","","Incline Bench Press (Dumbbell)",,"",2,"normal",18.14,7,,,
"Push day (chest focus)","14 Apr 2025, 19:34","14 Apr 2025, 20:49","","crossbody cable extension",,"",0,"normal",21,6,,,
"Push day (chest focus)","14 Apr 2025, 19:34","14 Apr 2025, 20:49","","crossbody cable extension",,"",1,"normal",16.25,7,,,
"Push day (chest focus)","14 Apr 2025, 19:34","14 Apr 2025, 20:49","","crossbody cable extension",,"",2,"normal",15,11,,,
"Push day (chest focus)","14 Apr 2025, 19:34","14 Apr 2025, 20:49","","Butterfly (Pec Deck)",,"",0,"normal",45,8,,,
"Push day (chest focus)","14 Apr 2025, 19:34","14 Apr 2025, 20:49","","Butterfly (Pec Deck)",,"",1,"normal",45,6,,,
"Push day (chest focus)","14 Apr 2025, 19:34","14 Apr 2025, 20:49","","Butterfly (Pec Deck)",,"",2,"normal",45,5,,,
